2018-01-27 00:37:00	MSNBCW	28	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/2220	NUNES REFUSES TO TURN OVER \"FISA ABUSE\". MEMO TO SENATE INTELLIGENCE COMMITTEE\nREP. NUNES CLAIMS TO HAVE MEMO SHOWING \"FISA ABUSE\"\nMEMO ALLEGEDLY SHOWS DOJ, FBI IMPROPERLY. CONDUCTING SURVEILLANCE IN RUSSIA-TRUMP...
2018-01-27 00:38:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/480	later,\
2018-01-27 00:38:00	MSNBCW	24	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/2280	MEMO ALLEGEDLY SHOWS DOJ, FBI IMPROPERLY. CONDUCTING SURVEILLANCE IN RUSSIA-TRUMP PROBE
2018-01-27 00:39:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/540	later,\
2018-01-27 00:39:00	CNNW	56	CNNW_20180127_000000_Erin_Burnett_OutFront/start/2340	IGNORING FACTS, GOP PUSHES THEORIES TO DISCREDIT MUELLER, FBI\nIGNORING FACTS, GOP PUSHES THEORIES TO DISCREDIT MUELLER FBI. . Ben Ferguson Host of \"The Ben Ferguson Show\u201c
2018-01-27 00:40:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/600	later,\
2018-01-27 00:41:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/660	later,\
2018-01-27 00:41:00	CNNW	14	CNNW_20180127_000000_Erin_Burnett_OutFront/start/2460	IGNORING FACTS, GOP PUSHES THEORIES TO DISCREDIT MUELLER FBI. . Ben Ferguson Host of \"The Ben Ferguson Show\u201c\nIGNORING FACTS, GOP PUSHES THEORIES TO DISCREDIT MUELLER, FBI
2018-01-27 00:42:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/720	later,\
2018-01-27 00:42:00	FOXNEWSW	28	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/2520	{UMP TOUTS NEW IMMIGRATION PLAN AT DAVOS. . :-\n{UMP TOUTS NEW IMMIGRATION PLAN AT DAVOS
2018-01-27 00:42:00	MSNBCW	15	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/2520	JEB BUSH WARNS OF TRUMP\u2019S IMPACT ON 2O18 ELECTIONS
2018-01-27 00:43:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/780	later,\
2018-01-27 00:44:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/840	later,\
2018-01-27 00:44:00	FOXNEWSW	24	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/2640	lMIGRATION PLAN TAKING HEAT FROM DEMOCRATS\nH PROPOSES PATH TO CITIZENSHIP FOR I .8M ILLEGALS,. $25B FOR BORDER SECURITY & END TO VISA LOTTERY. . W\n'H IMMIGRATION PLAN WOULD...
2018-01-27 00:45:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/900	later,\
2018-01-27 00:45:00	CNNW	39	CNNW_20180127_000000_Erin_Burnett_OutFront/start/2700	LAWMAKERS RAMP UP EFFORTS TO PROTECT MUELLER FROM TRUMP FIRING. . Sen. Richard Blumenthal (D) Judiciary Committee\nLAWMAKERS RAMP UP EFFORTS TO PROTECT MUELLER FROM TRUMP FIRING
2018-01-27 00:45:00	MSNBCW	30	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/2700	JEB BUSH URGES 2O18 GOP CANDIDATES TO. FOCUS ON JOB GROWTH AND TAX REFORM\nSABRINA SIDDIQUI | THE GUARDIAN\nJEB BUSH WARNS OF TRUMP\u2019S IMPACT ON 2O18 ELECTIONS
2018-01-27 00:46:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/960	later,\
2018-01-27 00:46:00	FOXNEWSW	15	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/2760	.UMP'S NEW IMMIGRATION PLAN SPARKING DEBATE. . r n\n'H IMMIGRATION PLAN WOULD ALLOW PATHWAY TO. CITIZENSHIP FOR NEARLY 2 MILLION ILLEGALS. . W
2018-01-27 00:47:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/1020	later,\
2018-01-27 00:47:00	CNNW	34	CNNW_20180127_000000_Erin_Burnett_OutFront/start/2820	TRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL. . Sen. Richard Blumenthal (D) Judiciary Committee\nTRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL
2018-01-27 00:47:00	MSNBCW	24	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/2820	JEB BUSH URGES 2O18 CANDIDATES TO STEER. CLEAR OF \"\\NEDGE ISSUE\" OF IMMIGRATION\nMAYOR PETE BU'I'I'IGIEG I (D) SOUTH BEND, IN
2018-01-27 00:48:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/1080	later,\
2018-01-27 00:49:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/1140	later,\
2018-01-27 00:49:00	MSNBCW	23	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/2940	TRUMP TALKS DAVOS, IGNORES MUELLER QUESTIONS. UPON ARRIVAL AT WHITE HOUSE
2018-01-27 00:50:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/1200	later,\
2018-01-27 00:51:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/1260	later,\
2018-01-27 00:52:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/1320	later,\
2018-01-27 00:52:00	MSNBCW	34	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/3120	r\u2014TELL ME SOMETHING\n=TELL ME SOMETHING. I DON'T KNOW
2018-01-27 00:53:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/1380	later,\
2018-01-27 00:53:00	CNNW	7	CNNW_20180127_000000_Erin_Burnett_OutFront/start/3180	*Terms and conditions apply' gay
2018-01-27 00:54:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/1440	later,\
2018-01-27 00:54:00	FOXNEWSW	30	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/3240	ENDING THE OPIOID EMERGENCY. . . . :-\nENDING THE OPIOID EMERGENCY T;
2018-01-27 00:54:00	MSNBCW	6	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/3240	uuuuuuuuuuuu. . amazon
2018-01-27 00:55:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/1500	later,\
2018-01-27 00:55:00	CNNW	29	CNNW_20180127_000000_Erin_Burnett_OutFront/start/3300	BILLY GRAHAM'S GRANDDAUGHTER SPEAKS OUT AGAINST. EVANGELICALS GIVING TRUMP A \"PASS\" FOR HIS BEHAVIOR\nBILLY GRAHAM'S GRANDDAUGHTER ON TRUMP'S ALLEGED AFFAIR. . Tonv Perkins President, Family Research Council\nBILLY GRAHAM'S GRANDDAUGHTER...
2018-01-27 00:55:00	FOXNEWSW	20	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/3300	DEM MEMBER OF TRUMP OPIOID COMMISSION SLAMS. FORT AS 'SHAM' DUE TO LACK OF FUNDING & PROGRESS > A. . W
2018-01-27 00:56:00	CNNW	41	CNNW_20180127_000000_Erin_Burnett_OutFront/start/3360	BILLY GRAHAM'S GRANDDAUGHTER ON TRUMP'S ALLEGED AFFAIR. . Jerushah Armfield Rev. Billy Graham's Granddaughter\nBILLY GRAHAM'S GRANDDAUGHTER SPEAKS OUT AGAINST. EVANGELICALS GIVING TRUMP A \"PASS\" FOR HIS BEHAVIOR
2018-01-27 00:57:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/1620	later,\
2018-01-27 00:58:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/1680	later,\
2018-01-27 00:59:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/1740	later,\
2018-01-27 01:00:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/1800	later,\
2018-01-27 01:01:00	BBCNEWS	4	BBCNEWS_20180127_010000_BBC_News/start/60	later,\
2018-01-27 01:01:00	CNNW	62	CNNW_20180127_010000_Anderson_Cooper_360/start/60	APPETITE FOR OBSTRUCTION?
