2018-01-04 00:33:00	CNNW	51	CNNW_20180104_000000_Erin_Burnett_OutFront/start/1980	BOOK: TRUMP HORRIFIED ON ELECTION NIGHT OVER IMMINENT VICTORY. . Richard Painter FormerWH Ethics Lawyerfor President George W' Bush\nBOOK: TRUMP HORRIFIED ON ELECTION NIGHT OVER IMMINENT VICTORY
2018-01-04 00:33:00	FOXNEWSW	16	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/1980	AETZ ON FBI'S HANDLING OF INVESTIGATIONS T;\nI? REP MATT GAETZ R-FL | HOUSE JUDICIARY COMMITTEE. . FBI & DOJ UNDER INCREASED SCRUTINY. mm: HIGH\u2014DDnFII I: INVFQTlnATlnNC 7.:\nAETZ...
2018-01-04 00:33:00	MSNBCW	21	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/1980	TRUMP: MY \"NUCLEAR BUTI'ON\" IS. \"MUCH RIGGFD\" THAN KIM JONG UN'S\nU.N. AMB. HALEY: \"WE WILL NEVER ACCEPT\". A NUCI FAD-ADMFI') NORTH KODFA\nTRUMP: MY \"NUCLEAR BUTI'ON\" IS. \"MUCH RIGGFD\" THAN KIM JONG...
2018-01-04 00:34:00	BBCNEWS	6	BBCNEWS_20180104_003000_HARDtalk/start/240	bbc.co.uk/hardtalk
2018-01-04 00:34:00	CNNW	45	CNNW_20180104_000000_Erin_Burnett_OutFront/start/2040	BOOK: IVANKA TRUMP MOCKED DAD'S HAIR STYLE TO OTHERS\nBOOK: TRUMP HORRIFIED ON ELECTION NIGHT OVER IMMINENT VICTORY\nBOOK: TRUMP HORRIFIED ON ELECTION NIGHT OVER IMMINENT VICTORY. . Richard...
2018-01-04 00:34:00	MSNBCW	26	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/2040	TRUMP: \"I WOULD NEVER SAY\" THE. us, WON'T us: NUCI FAD WFADONS\nTRUMP: MY \"NUCLEAR BUTI'ON\" IS. \"MUCH RIGGFD\" THAN KIM JONG UN\u2019S
2018-01-04 00:36:00	CNNW	31	CNNW_20180104_000000_Erin_Burnett_OutFront/start/2160	BOOK: TRUMP HAS LONGTIME FEAR OF BEING POISONED\nBOOK: IVANKA TRUMP MOCKED DAD'S HAIR STYLE TO OTHERS\nBOOK: IVANKA TRUMP MOCKED DAD'S HAIR STYLE TO OTHERS. . Tim Naftali Former...
2018-01-04 00:36:00	MSNBCW	33	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/2160	TRUMP TAUNTS NORTH KOREA OVER NUCLEAR \"BUTTONS\"\nNORTH KOREA REOPENS BORDER HOTLINE AS. TDUMD ROASTS m: \"RIGGFD\" NUCI FAR n1 \u201cTON\nNORTH KOREA REOPENS BORDER HOTLINE AS. TDUMD ROASTS...
2018-01-04 00:37:00	CNNW	56	CNNW_20180104_000000_Erin_Burnett_OutFront/start/2220	BOOK: TRUMP HAS LONGTIME FEAR OF BEING POISONED. . David Gerqen Former Presidential Adviser\nBOOK: TRUMP HAS LONGTIME FEAR OF BEING POISONED
2018-01-04 00:38:00	CNNW	48	CNNW_20180104_000000_Erin_Burnett_OutFront/start/2280	BOOK: TRUMP HAS LONGTIME FEAR OF BEING POISONED. . Richard Painter FormerWH Ethics Lawyerfor President George W' Bush\nBOOK: TRUMP HAS LONGTIME FEAR OF BEING POISONED
2018-01-04 00:39:00	FOXNEWSW	16	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/2340	PRESIDENT COMES UNDER ATTACK FOR. TWEET ON NORTH KOREA & NUKES. . . . r\nFLASHBACK: TRUMP TAKES STRONG STANCE. AGAINST NORTH KOREA THREAT\nAnn u\u2014u\u2014nn. u\u2014n
2018-01-04 00:40:00	MSNBCW	14	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/2400	ThnRa rnng Firm r'nm\nNEW BOOK: IVANKA & JARED AGREED IVANKA. wow n RF THF NFXT am: To 91 IN FOR DDFSIDFNT
2018-01-04 00:41:00	FOXNEWSW	62	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/2460	EDIA LOSES IT OVER TRUMP'S N KOREA TWEET T;
2018-01-04 00:41:00	MSNBCW	55	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/2460	NEW BOOK: IVANKA & JARED AGREED IVANKA. wow n RF THF NFXT ONF To 91 IN FOR DDFSIDFNT
2018-01-04 00:42:00	CNNW	19	CNNW_20180104_000000_Erin_Burnett_OutFront/start/2520	WH: BE CONCERNED ABOUT KIM'S MENTAL FITNESS, NOT TRUMP'S\nComparison based on minimum labeled dosing.\nWH: BE CONCERNED ABOUT KIM'S MENTAL FITNESS NOT TRUMP'S. . Sarah Sanders White House Press...
2018-01-04 00:42:00	FOXNEWSW	10	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/2520	{UMP & NOKO RAMP UP NUCLEAR RHETORIC T;\nPRESIDENT COMES UNDER ATTACK FOR. TWEET ON NORTH KOREA & NUKES. . 'l'hn\ufb02tnww\ufb02f'nvn aura nnm \\\nEDIA LOSES IT OVER TRUMP'S N KOREA...
2018-01-04 00:43:00	CNNW	42	CNNW_20180104_000000_Erin_Burnett_OutFront/start/2580	WH: BE CONCERNED ABOUT KIM'S MENTAL FITNESS, NOT TRUMP'S\nWH: BE CONCERNED ABOUT KIM'S MENTAL FITNESS NOT TRUMP'S. . Sen. Jeff Merklev (D) Foreign Relations Committee\nWH: BE CONCERNED ABOUT...
2018-01-04 00:43:00	MSNBCW	33	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/2580	NEW BOOK: \"NOBODY REALLY HAD A JOB BECAUSE. Mnnnnv com O RPM I v no A Jan\" AT WHITF HOIISF\nBANNON UNLOADS ON TRUMP, FAMILY IN NEW BOOK\nRICK TYLER | REPUBLICAN STRATEGIST
2018-01-04 00:44:00	CNNW	41	CNNW_20180104_000000_Erin_Burnett_OutFront/start/2640	WH: BE CONCERNED ABOUT KIM'S MENTAL FITNESS NOT TRUMP'S. . Sen. Jeff Merklev (D) Foreign Relations Committee\nWH: BE CONCERNED ABOUT KIM'S MENTAL FITNESS, NOT TRUMP'S
2018-01-04 00:44:00	FOXNEWSW	25	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/2640	{UMP TAUNTS NOKO HIS \"BUTTON WORKS\". . r
2018-01-04 00:44:00	MSNBCW	39	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/2640	BANNON UNLOADS ON TRUMP, FAMILY IN NEW BOOK\nBANNON IN NEW BOOK: TRUMP SON-lN-LAW KUSHNER \"GREASY\
2018-01-04 00:47:00	CNNW	23	CNNW_20180104_000000_Erin_Burnett_OutFront/start/2820	TRUMP SAYS BANNON \"NOT ONLY LOST HIS JOB, HE LOST HIS MIND\"; COMES. AFI'ER BANNON CALLS TRUMP TOWER MEETING WITH RUSSIANS \"TREASONOUS\"\nWH: BE CONCERNED ABOUT KIM'S MENTAL FITNESS NOT TRUMP'S. . Sen. Jeff Merklev (D) Foreign Relations Committee\nWH: BE CONCERNED ABOUT...
2018-01-04 00:47:00	FOXNEWSW	8	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/2820	. . (t I MFR SPINF INQTITIITF 1-844-532-BACK\n. . ( [MFR QPINF INQTITHTF 1-844-532-BACK
2018-01-04 00:47:00	MSNBCW	19	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/2820	TRUMP DISSOLVES VOTER FRAUD COMMISSION\nWH PRESS SECRETARY
2018-01-04 00:48:00	MSNBCW	3	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/2880	legalza
2018-01-04 00:49:00	CNNW	9	CNNW_20180104_000000_Erin_Burnett_OutFront/start/2940	KEYTRUDA'
2018-01-04 00:49:00	FOXNEWSW	19	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/2940	DB LEVINSON MISSING IN IRAN SINCE 2OO7\nLEVINSON FAMILY HAS HEARD NOTHING FROM. IRANIAN GOVERNMENT SINCE 2O1O\nDB LEVINSON MISSING IN IRAN SINCE 2OO7. . \\ the ufn-nv Mir
2018-01-04 00:50:00	MSNBCW	10	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/3000	HATCH, ROMNEY AT ODDS WHEN. IT COMFS TO SI IDDODTING TplIMD\nTRUMP: ROMNEY \"CHOKED LIKE A DOG\"\nHATCH, ROMNEY AT ODDS WHEN. IT COMFS TO SI IDDODTING TleMD
2018-01-04 00:51:00	FOXNEWSW	33	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/3060	EVINSON FAMILY DEMANDING ANSWERS T;\nFAMILY OF MISSING FORMER FBI AGENT. DEMAND ANSWERS FROM IRAN. . Thngi'nnw\ufb02f'nvn aura nnm \\ :4;
